code,name
A,Сельское, лесное хозяйство, охота, рыболовство и рыбоводство
01,Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях
01.1,Выращивание однолетних культур
01.11,Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур
01.11.1,Выращивание зерновых культур
01.11.2,Выращивание зернобобовых культур
01.11.3,Выращивание семян масличных культур
01.12,Выращивание риса
01.13,Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей
01.13.1,Выращивание овощей
01.13.2,Выращивание бахчевых культур
01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина
01.13.4,Выращивание семян овощных культур, за исключением семян сахарной свеклы
01.13.5,Выращивание сахарной свеклы и семян сахарной свеклы
01.13.6,Выращивание грибов и трюфелей
01.14,Выращивание сахарного тростника
01.15,Выращивание табака и махорки
01.16,Выращивание волокнистых прядильных культур
01.19,Выращивание прочих однолетних культур
01.2,Выращивание многолетних культур
01.21,Выращивание винограда
01.22,Выращивание тропических и субтропических культур
01.23,Выращивание цитрусовых культур
01.24,Выращивание семечковых и косточковых культур
01.25,Выращивание прочих плодовых деревьев, кустарников и орехов
01.26,Выращивание плодов масличных культур
01.27,Выращивание культур для производства напитков
01.28,Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур
01.29,Выращивание прочих многолетних культур
01.3,Выращивание рассады
01.30,Выращивание рассады
01.4,Животноводство
01.41,Разведение молочного крупного рогатого скота, производство сырого молока
01.42,Разведение прочих пород крупного рогатого скота и буйволов, производство спермы
01.43,Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных
01.44,Разведение верблюдов и прочих животных семейства верблюжьих
01.45,Разведение овец и коз
01.46,Разведение свиней
01.47,Разведение сельскохозяйственной птицы
01.49,Разведение прочих животных
01.5,Смешанное сельское хозяйство
01.50,Смешанное сельское хозяйство
01.6,Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции
B,Добыча полезных ископаемых
05,Добыча угля
05.1,Добыча и обогащение угля и антрацита
05.10,Добыча и обогащение угля и антрацита
05.10.1,Добыча угля и антрацита
05.10.2,Обогащение угля
05.10.21,Обогащение антрацита
05.10.22,Обогащение коксующегося угля
05.10.23,Обогащение угля, кроме антрацита и коксующегося угля
